LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70474,11.94978,100,230,234,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70474,11.94978,100,230,234,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70474,11.94978,100,230,234,3,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70452,11.94036,67,328,343,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70531,11.93988,10,173,354,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70531,11.93988,10,173,354,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70319,11.94651,104,68,70,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70319,11.94651,104,68,70,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70575,11.95547,57,67,73,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70575,11.95547,57,67,73,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70587,11.9563,0,345,87,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.9563,0,345,87,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.9563,0,345,87,4,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.9563,0,345,87,4,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.95567,44,270,272,3,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70587,11.95567,44,270,272,3,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70345,11.94541,99,255,266,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70345,11.94541,99,255,266,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:47:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70407,11.94092,78,308,325,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70407,11.94092,78,308,325,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:49:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70347,11.94204,102,135,138,1,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70347,11.94204,102,135,138,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T11:51:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70483,11.95198,98,53,62,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70483,11.95198,98,53,62,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:53:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.7057,11.95546,56,65,74,3,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.7057,11.95546,56,65,74,3,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:55:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70587,11.95627,1,352,86,4,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.95627,1,352,86,4,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:57:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.95629,1,353,86,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.95629,1,353,86,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T11:59:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70421,11.94872,100,240,243,1,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70421,11.94872,100,240,243,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:01:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70353,11.94291,92,281,289,1,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70421,11.94872,100,240,243,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:03:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70507,11.94006,51,164,167,1,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70507,11.94006,51,164,167,1,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:05:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70292,11.94275,107,120,115,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70292,11.94275,107,120,115,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70531,11.9542,85,57,61,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:09:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70531,11.9542,85,57,61,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70588,11.95634,1,348,87,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:11:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70588,11.95634,1,348,87,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70588,11.95634,1,348,87,4,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:13:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70588,11.95624,9,267,266,3,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70588,11.95624,9,267,266,3,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:15:10.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70339,11.94417,89,269,279,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:17:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70339,11.94417,89,269,279,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:17:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70463,11.94044,55,333,344,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:19:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70385,11.94117,97,149,149,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70385,11.94117,97,149,149,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:21:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70385,11.94117,97,149,149,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70461,11.95191,102,58,63,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:23:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70572,11.95553,51,64,72,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:25:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70572,11.95553,51,64,72,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:25:10.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70587,11.95633,0,6,89,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.95633,0,6,89,3,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:27:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70584,11.95533,71,265,266,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70587,11.95633,0,6,89,3,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:29:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70343,11.94366,98,282,293,1,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:31:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70343,11.94366,98,282,293,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:31:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70498,11.94005,47,339,353,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70498,11.94005,47,339,353,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70539,11.93994,1,66,353,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70539,11.93994,1,66,353,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:35:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70284,11.94281,108,133,127,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:37:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70484,11.95313,83,55,57,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70484,11.95313,83,55,57,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:39:10.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70573,11.95583,39,62,68,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70573,11.95583,39,62,68,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:41:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70585,11.9563,0,169,88,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70585,11.9563,0,169,88,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70479,11.95039,100,241,249,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:45:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70479,11.95039,100,241,249,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70479,11.95039,100,241,249,4,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:47:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70479,11.95039,100,241,249,4,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:47:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70328,11.94512,96,251,265,5,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70328,11.94512,96,251,265,5,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:49:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70391,11.94126,82,149,153,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70391,11.94126,82,149,153,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:51:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70365,11.95002,96,56,62,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70365,11.95002,96,56,62,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:53:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70525,11.95442,73,55,61,3,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:55:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70525,11.95442,73,55,61,3,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T12:55:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70585,11.95629,2,341,88,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:57:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70585,11.95629,2,341,88,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:57:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70586,11.95626,7,265,88,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:59:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70586,11.95626,7,265,88,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T12:59:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70383,11.94699,99,239,243,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:01:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70383,11.94699,99,239,243,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:01:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70361,11.94192,92,297,309,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:03:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70361,11.94192,92,297,309,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:03:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70361,11.94192,92,297,309,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70361,11.94192,92,297,309,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:05:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70243,11.94538,103,92,90,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70243,11.94538,103,92,90,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:07:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70523,11.95422,84,55,61,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70523,11.95422,84,55,61,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:09:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70584,11.9563,0,223,84,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:11:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70584,11.9563,0,223,84,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:11:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70584,11.9563,0,223,84,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:13:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70584,11.9563,0,223,84,4,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:13:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70487,11.95072,90,242,247,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:15:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70487,11.95072,90,242,247,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:15:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70351,11.9462,91,246,259,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:17:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70351,11.9462,91,246,259,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:17:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70523,11.93995,31,339,348,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70523,11.93995,31,339,348,2,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:19:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70412,11.94101,82,141,151,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:21:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70412,11.94101,82,141,151,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:21:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70249,11.94652,98,80,77,3,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:23:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70249,11.94652,98,80,77,3,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:23:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70549,11.95525,52,56,65,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:25:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70549,11.95525,52,56,65,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:25:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70587,11.95627,0,346,90,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:27:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70587,11.95627,0,346,90,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:27:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70585,11.95621,14,271,268,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70585,11.95621,14,271,268,2,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:29:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70373,11.94688,98,239,247,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,1,2016-12-13T13:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70373,11.94688,98,239,247,2,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70384,11.94141,86,304,318,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:33:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70384,11.94141,86,304,318,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:33:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70535,11.93994,0,289,357,3,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70384,11.94141,86,304,318,3,,SE,34,720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70535,11.93994,0,289,357,3,,SE,34,0,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.7026,11.9446,104,107,104,1,,SE,34,-720,ALVFRIDA,6,2795623,8,16,4,NA,NA,0,2016-12-13T13:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
