LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79844,18.8894,142,116,123,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:07:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.79387,18.90005,139,130,121,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:09:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.78929,18.91087,141,120,122,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:11:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.78696,18.91626,143,132,122,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:13:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.77982,18.93297,142,113,124,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.77519,18.94374,138,117,122,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.77519,18.94374,138,117,122,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:19:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.76577,18.9656,144,138,122,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.7612,18.97627,132,127,121,2,PLGDN,DK,119,-720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.75671,18.98698,137,117,123,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.75127,18.9963,139,148,152,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.74763,18.9988,145,162,160,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T01:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.52419,18.99677,141,207,206,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:29:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.5171,18.99077,142,201,206,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:31:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.50999,18.98457,144,214,205,2,PLGDN,DK,119,-720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:33:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.50642,18.98156,146,207,206,3,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:35:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4989,18.97516,145,205,206,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4919,18.96904,133,206,205,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.48531,18.96334,134,205,206,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.47859,18.95757,132,205,206,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:43:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.47216,18.95192,129,207,205,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.46568,18.94622,131,210,205,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45938,18.94072,128,206,206,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45313,18.93525,128,206,206,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4475,18.92858,122,225,231,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44355,18.91908,124,226,235,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.43938,18.90862,125,245,234,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.43559,18.89918,120,238,235,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T02:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4319,18.88992,115,241,244,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42935,18.88071,103,238,247,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42707,18.871,107,266,249,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:05:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42501,18.86201,104,240,250,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:07:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4232,18.85223,100,251,254,2,PLGDN,DK,119,-720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:09:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42183,18.84373,86,254,256,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:11:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42108,18.83607,80,260,265,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:13:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42063,18.82867,80,284,265,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42019,18.82205,72,250,266,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41985,18.81594,58,254,265,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41935,18.81083,51,226,265,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41909,18.8089,37,232,269,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:23:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41879,18.80549,35,255,266,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41831,18.80193,46,286,261,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.418,18.80008,32,260,264,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41755,18.7968,35,262,267,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:31:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41717,18.79355,31,263,265,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:33:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41672,18.79032,37,241,263,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:35:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41627,18.78707,37,271,263,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41584,18.78383,36,274,264,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:39:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41536,18.78048,31,261,294,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41557,18.77843,26,297,339,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:43:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41634,18.77754,21,355,28,3,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41703,18.78,31,83,64,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41718,18.78169,31,72,55,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41743,18.78314,33,64,48,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41876,18.78558,23,3,309,3,PLGDN,DK,119,-720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41876,18.78558,23,3,309,3,PLGDN,DK,119,-720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:55:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41802,18.78136,32,267,259,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41802,18.78136,32,267,259,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T03:59:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41887,18.77705,27,10,41,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41956,18.77932,33,116,136,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41736,18.78033,44,254,245,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41609,18.77619,52,259,261,1,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:07:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41574,18.77311,61,258,266,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:09:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41356,18.7677,68,215,207,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:11:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41005,18.76473,71,211,219,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:13:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40757,18.75966,62,246,251,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40627,18.75411,72,276,250,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40493,18.74831,67,254,251,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40357,18.74188,66,245,256,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40265,18.73563,67,260,261,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40209,18.73085,33,280,278,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40217,18.72846,15,273,208,2,PLGDN,DK,119,-720,MARINUS,8,156246,16,101,9,7082,88,1,2016-12-15T04:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40369,18.72658,42,325,151,2,PLGDN,DK,119,-720,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40517,18.72401,38,295,121,2,PLGDN,DK,119,-720,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:31:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4056,18.72156,26,282,106,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:33:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40564,18.72,7,264,112,2,PLGDN,DK,119,720,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:35:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40556,18.71948,6,212,119,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40563,18.71929,1,311,121,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71929,1,311,121,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40562,18.71931,2,55,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:43:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40562,18.71931,2,55,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:45:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71928,1,123,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71928,1,123,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71934,2,122,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71928,1,131,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71928,1,131,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71926,1,123,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71931,0,114,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T04:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71931,0,114,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71927,0,108,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71932,0,111,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71932,0,111,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:07:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40566,18.7193,2,117,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:09:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71928,1,121,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:11:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71928,1,121,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:13:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71932,1,125,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71931,1,127,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71931,1,127,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40564,18.7193,1,117,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40565,18.7193,1,120,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40565,18.7193,1,120,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.7193,1,132,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40562,18.71931,3,119,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40562,18.71931,3,119,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:31:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71929,1,110,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:33:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40569,18.71932,0,109,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:35:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40569,18.71932,0,109,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40564,18.71929,1,125,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71931,2,123,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71931,2,123,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:43:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40564,18.71927,0,116,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71929,0,125,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71929,0,125,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.7193,2,116,121,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:51:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71931,0,116,121,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:53:04.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40561,18.71931,0,116,121,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:55:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40564,18.71934,1,127,121,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40565,18.7193,1,129,121,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T05:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40565,18.7193,1,129,121,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T06:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40565,18.7193,1,144,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T06:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40565,18.71932,1,134,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T06:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40565,18.71932,1,134,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T06:07:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71931,1,116,120,3,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T06:09:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71933,1,117,120,2,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T06:11:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
54.40563,18.71933,1,117,120,4,PLGDN,DK,119,0,MARINUS,8,156246,16,101,9,7082,88,0,2016-12-15T06:13:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,1
