LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.601,11.66083,59,29,28,2,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:21:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.60448,11.66448,59,28,28,2,GOTHENBURG,PT,178,-2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:23:12.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.60448,11.66448,59,28,28,2,GOTHENBURG,PT,178,-2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:25:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.60928,11.66926,59,28,28,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:27:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.61288,11.67279,58,28,26,2,GOTHENBURG,PT,178,-2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:29:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.61762,11.67725,53,27,26,3,GOTHENBURG,PT,178,1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:33:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.62057,11.68008,44,27,26,2,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:35:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.625,11.68442,34,27,26,1,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:39:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.62583,11.68524,33,29,26,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:41:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.62683,11.68617,31,28,26,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:43:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.62817,11.68767,29,29,26,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:45:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.62967,11.689,28,28,26,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:47:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.63167,11.691,26,28,26,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:49:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.63233,11.69167,25,28,26,3,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:51:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.63367,11.69293,24,28,26,3,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:53:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.63482,11.69402,23,28,27,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:55:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.63688,11.69611,37,29,26,2,GOTHENBURG,PT,178,-2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:57:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.63933,11.6985,45,28,26,2,GOTHENBURG,PT,178,2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T01:59:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.64067,11.69983,48,29,26,2,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:01:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.64317,11.70267,52,28,27,2,GOTHENBURG,PT,178,4,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:03:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.64607,11.70556,54,31,36,2,GOTHENBURG,PT,178,8,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:05:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.64867,11.7095,54,49,61,2,GOTHENBURG,PT,178,11,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:07:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.65017,11.71467,54,67,70,2,GOTHENBURG,PT,178,2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:09:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.65131,11.72052,56,69,70,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:11:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.652,11.72367,56,69,72,2,GOTHENBURG,PT,178,-5,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:13:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.6533,11.73068,58,71,72,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:15:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.65443,11.73741,58,75,74,2,GOTHENBURG,PT,178,-2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:17:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.65534,11.74327,59,74,75,2,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:19:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.65629,11.74965,59,74,75,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:21:14.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.65681,11.75311,60,75,75,2,GOTHENBURG,PT,178,1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:23:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.65785,11.76006,59,74,72,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:25:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.65883,11.76583,59,73,71,2,GOTHENBURG,PT,178,-4,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:27:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.66,11.7715,58,66,54,2,GOTHENBURG,PT,178,-16,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:29:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.66183,11.77567,51,45,45,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:31:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.66367,11.77917,43,45,45,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:33:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.66533,11.782,38,46,45,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:35:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.667,11.78533,44,44,45,2,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:37:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.669,11.789,49,45,45,2,GOTHENBURG,PT,178,-2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:39:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67017,11.791,50,43,45,3,GOTHENBURG,PT,178,-2,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:41:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.6725,11.79483,52,40,49,2,GOTHENBURG,PT,178,8,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:43:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67497,11.80005,59,49,55,2,GOTHENBURG,PT,178,8,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:45:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67497,11.80005,59,49,55,2,GOTHENBURG,PT,178,8,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:45:08.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67617,11.80317,62,57,63,3,GOTHENBURG,PT,178,8,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:47:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67617,11.80317,62,57,63,3,GOTHENBURG,PT,178,8,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:47:15.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67617,11.80317,62,57,63,3,GOTHENBURG,PT,178,8,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:49:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67795,11.81131,67,74,74,2,GOTHENBURG,PT,178,-2,VIONA,7,300093,28,160,15,22248,11,0,2016-12-20T02:49:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67904,11.81892,64,75,72,2,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:51:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.67904,11.81892,64,75,72,2,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,0,2016-12-20T02:51:15.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68027,11.82536,60,67,68,2,GOTHENBURG,PT,178,3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:53:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68027,11.82536,60,67,68,2,GOTHENBURG,PT,178,3,VIONA,7,300093,28,160,15,22248,11,0,2016-12-20T02:53:08.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.681,11.82866,59,67,68,2,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:55:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.681,11.82866,59,67,68,2,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:55:08.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68209,11.83376,48,69,67,2,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:57:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68209,11.83376,48,69,67,2,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:57:15.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68309,11.83842,39,68,69,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:59:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68309,11.83842,39,68,69,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T02:59:15.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68358,11.84084,40,74,68,3,GOTHENBURG,PT,178,-6,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:01:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68358,11.84084,40,74,68,3,GOTHENBURG,PT,178,-6,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:01:15.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68358,11.84084,40,74,68,3,GOTHENBURG,PT,178,-6,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:03:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68483,11.846,42,55,60,2,GOTHENBURG,PT,178,9,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:03:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68555,11.84788,38,57,75,3,GOTHENBURG,PT,178,16,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:05:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68555,11.84788,38,57,75,3,GOTHENBURG,PT,178,16,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:05:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68633,11.85083,20,57,122,3,GOTHENBURG,PT,178,30,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:07:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68633,11.85083,20,57,122,3,GOTHENBURG,PT,178,30,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:07:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68685,11.85225,20,56,186,3,GOTHENBURG,PT,178,28,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:09:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68685,11.85225,20,56,186,3,GOTHENBURG,PT,178,28,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:09:15.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68733,11.85383,21,60,221,2,GOTHENBURG,PT,178,11,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:11:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68685,11.85225,20,56,186,3,GOTHENBURG,PT,178,28,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:11:14.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68789,11.85691,22,76,255,2,GOTHENBURG,PT,178,6,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:13:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68789,11.85691,22,76,255,2,GOTHENBURG,PT,178,6,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:13:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68817,11.85917,18,82,265,2,GOTHENBURG,PT,178,4,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:15:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68817,11.85917,18,82,265,2,GOTHENBURG,PT,178,4,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:15:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68817,11.86117,11,85,266,1,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:17:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.68817,11.86117,11,85,266,1,GOTHENBURG,PT,178,-1,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:17:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.6882,11.86169,4,102,269,2,GOTHENBURG,PT,178,3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:19:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6882,11.86169,4,102,269,2,GOTHENBURG,PT,178,3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:19:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6882,11.86169,4,102,269,4,GOTHENBURG,PT,178,3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:21:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6882,11.86169,4,102,269,4,GOTHENBURG,PT,178,3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:21:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6883,11.86185,1,330,269,3,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:23:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6883,11.86185,1,330,269,3,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:23:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6883,11.86185,1,330,269,3,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:25:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6883,11.86185,1,330,269,5,GOTHENBURG,PT,178,-3,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:25:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86182,0,88,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:27:14.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86182,0,88,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:27:16.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86182,0,88,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:29:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86182,0,88,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:29:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,280,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:31:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,280,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:31:08.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,280,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:33:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,280,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:33:14.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,280,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:35:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68825,11.86189,0,142,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:35:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68825,11.86189,0,142,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:37:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68825,11.86189,0,142,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:37:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68825,11.86189,0,142,269,6,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:39:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68825,11.86189,0,142,269,6,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:39:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,70,269,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:41:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,70,269,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:41:08.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86183,1,225,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:43:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86183,1,225,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:43:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86183,1,225,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:45:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86183,1,225,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:45:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6883,11.86184,1,205,269,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:47:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6883,11.86184,1,205,269,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:47:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,1,30,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:49:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,1,30,269,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:49:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,1,30,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:51:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,1,30,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:51:08.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,1,30,269,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:53:12.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,221,269,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:53:14.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,154,268,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:55:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,154,268,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:55:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,154,268,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:57:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,154,268,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:57:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,98,268,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:59:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,98,268,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T03:59:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,333,268,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T04:01:11.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,333,268,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T04:01:14.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,333,268,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T04:03:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68833,11.86183,0,333,268,4,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T04:03:07.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86185,0,316,268,1,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T04:05:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.68829,11.86185,0,316,268,3,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T04:05:15.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
57.6883,11.86185,0,251,268,2,GOTHENBURG,PT,178,0,VIONA,7,300093,28,160,15,22248,11,1,2016-12-20T04:07:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,1
