LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70081,11.91561,1,223,511,6,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T13:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70083,11.91559,1,241,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T13:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70082,11.91561,1,267,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T13:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70082,11.91561,1,267,511,5,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T13:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70082,11.91561,1,267,511,10,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T13:45:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70081,11.91563,0,236,511,1,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T13:47:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69841,11.91582,91,225,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:01:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69841,11.91582,91,225,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:01:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.694,11.90688,140,229,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:03:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.694,11.90688,140,229,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:03:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69183,11.90176,121,233,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69183,11.90176,121,233,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:05:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6879,11.88219,138,260,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6879,11.88219,138,260,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:07:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68662,11.86969,116,256,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:09:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68662,11.86969,116,256,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:09:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68391,11.85878,119,239,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:11:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68391,11.85878,119,239,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:11:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.67373,11.84339,323,199,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.67373,11.84339,323,199,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:13:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.66234,11.84009,70,128,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:15:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.66234,11.84009,70,128,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:15:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.66165,11.84312,51,135,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:17:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.66163,11.84324,66,344,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.66163,11.84324,66,344,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:19:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.66255,11.8401,79,318,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:21:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.67955,11.84983,142,43,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:23:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.67955,11.84983,142,43,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:23:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68336,11.86318,117,70,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:25:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68336,11.86318,117,70,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:25:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68336,11.86318,117,70,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68501,11.87173,117,66,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:27:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68599,11.87755,118,72,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68743,11.8863,114,71,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:29:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68843,11.89185,113,65,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:31:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68843,11.89185,113,65,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:31:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69264,11.90425,117,52,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69264,11.90425,117,52,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69264,11.90425,117,52,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69936,11.9165,71,0,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T14:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69936,11.9165,71,0,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T14:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69869,11.91642,73,206,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T15:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69869,11.91642,73,206,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T15:55:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69658,11.91155,84,233,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T15:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69658,11.91155,84,233,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T15:57:10.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69658,11.91155,84,233,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T15:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.69057,11.89911,116,244,511,1,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T15:59:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6892,11.89069,110,249,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T16:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68782,11.87965,112,265,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T16:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.68782,11.87965,112,265,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T16:03:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6865,11.86796,123,245,511,1,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6865,11.86796,123,245,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:05:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6823,11.85517,174,235,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6823,11.85517,174,235,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:07:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.67808,11.84751,220,207,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.67808,11.84751,220,207,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:09:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6624,11.83527,160,220,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:11:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.6624,11.83527,160,220,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:11:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.65431,11.82385,208,212,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.65431,11.82385,208,212,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:13:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.64585,11.81825,247,190,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:15:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.65431,11.82385,208,212,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:15:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.62555,11.81135,252,200,511,1,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:17:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.62555,11.81135,252,200,511,1,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:17:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61393,11.80539,201,196,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T16:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61393,11.80539,201,196,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-13T16:19:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.60376,11.79223,236,206,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-13T16:21:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.64732,11.85466,0,232,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:09:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64732,11.85466,0,232,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:09:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64732,11.85466,0,234,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:11:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64732,11.85466,0,234,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:11:09.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85469,0,226,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85469,0,226,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:13:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85469,0,226,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:15:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85469,0,226,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:15:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85468,0,217,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:17:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85468,0,217,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:17:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85468,0,217,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85468,0,226,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:19:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85468,0,226,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:21:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85468,0,226,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:21:09.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85468,0,232,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85468,0,232,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:23:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.8547,0,229,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.8547,0,229,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:25:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.8547,0,229,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:27:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.8547,0,229,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:27:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85469,0,232,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85469,0,232,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:29:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64736,11.85468,0,237,511,1,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64736,11.85468,0,237,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:31:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64736,11.85468,0,237,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64736,11.85468,0,237,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:33:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85468,0,235,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85468,0,235,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:35:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64735,11.85468,0,244,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:37:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64735,11.85468,0,244,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:37:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64735,11.85468,0,244,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64735,11.85468,0,244,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:39:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64732,11.85469,0,243,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:41:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64732,11.85469,0,243,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:41:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64732,11.85469,0,243,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:43:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64732,11.85469,0,243,511,5,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:43:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64733,11.85467,0,247,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:45:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64732,11.85469,0,243,511,5,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:45:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85468,0,251,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:47:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85468,0,251,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:47:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64735,11.85469,0,255,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:49:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64735,11.85469,0,255,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:49:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64735,11.85469,0,255,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:51:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64735,11.85469,0,255,511,4,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:51:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85467,0,253,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:53:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85467,0,253,511,3,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,0,2016-12-14T10:53:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
57.64734,11.85467,1,260,511,2,CLASS B,SE,9,NA,TARNTANK TEKNIK,9,3679722,3,6,2,NA,NA,1,2016-12-14T10:55:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,1
