LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.67177,19.80285,66,112,123,2,KALININGRAD,HK,177,4,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T06:51:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.67093,19.80596,65,114,126,3,KALININGRAD,HK,177,6,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T06:53:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66873,19.81257,62,122,131,2,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T06:55:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66873,19.81257,62,122,131,2,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T06:57:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66467,19.82318,61,122,130,1,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T06:59:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66365,19.82593,61,121,130,2,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:01:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66153,19.83192,61,121,130,2,KALININGRAD,HK,177,-1,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:03:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66013,19.83582,61,123,130,2,KALININGRAD,HK,177,-1,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:05:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.65797,19.84175,60,124,130,2,KALININGRAD,HK,177,-3,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:07:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.65637,19.846,65,122,130,2,KALININGRAD,HK,177,2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:09:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.65345,19.85393,86,118,125,1,KALININGRAD,HK,177,2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:11:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.65227,19.85758,88,118,126,2,KALININGRAD,HK,177,4,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:13:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.64889,19.86616,94,134,135,2,KALININGRAD,HK,177,-3,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:15:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.64889,19.86616,94,134,135,4,KALININGRAD,HK,177,-3,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:17:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.64303,19.8762,64,136,138,2,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:19:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.64106,19.87954,49,134,139,2,KALININGRAD,HK,177,1,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:21:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63979,19.88165,48,135,137,3,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:23:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63632,19.88747,56,135,138,1,KALININGRAD,HK,177,2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:25:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63507,19.8894,63,135,127,2,KALININGRAD,HK,177,-16,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:27:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63332,19.89395,71,115,102,3,KALININGRAD,HK,177,-24,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:29:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63289,19.90399,78,89,90,2,KALININGRAD,HK,177,-1,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:31:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63285,19.90836,73,89,81,3,KALININGRAD,HK,177,-16,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:33:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63285,19.90836,73,89,81,3,KALININGRAD,HK,177,-16,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:35:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63525,19.91795,40,57,61,2,KALININGRAD,HK,177,2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:37:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63589,19.91953,5,75,68,2,KALININGRAD,HK,177,-2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:39:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63582,19.92006,6,77,68,2,KALININGRAD,HK,177,1,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:41:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.63594,19.92054,3,68,69,2,KALININGRAD,HK,177,-2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:43:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92054,3,68,69,4,KALININGRAD,HK,177,-2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:45:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92054,3,68,69,6,KALININGRAD,HK,177,-2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:47:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92054,3,68,69,8,KALININGRAD,HK,177,-2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:49:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92054,3,68,69,10,KALININGRAD,HK,177,-2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:51:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92054,3,68,69,12,KALININGRAD,HK,177,-2,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:53:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92077,1,34,67,3,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:55:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92077,0,35,67,2,KALININGRAD,HK,177,-1,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T07:57:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63593,19.92077,1,199,66,3,KALININGRAD,HK,177,-1,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:01:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92072,0,151,67,2,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:03:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92072,0,151,67,4,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:05:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92072,0,151,67,3,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:07:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92072,0,151,67,5,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:09:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92072,0,151,67,7,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:11:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92072,0,151,67,7,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:13:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,2,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:15:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,4,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:17:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,6,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:19:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,8,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:21:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,10,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:23:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,12,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:25:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,12,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:27:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,16,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:29:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,18,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:31:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,20,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:33:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,22,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:35:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,24,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:37:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,26,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:39:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,28,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:41:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,30,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:43:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,32,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:45:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,34,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:47:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,36,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:49:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,38,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:51:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,40,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:53:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,42,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:55:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,44,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:57:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,46,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T08:59:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,48,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:01:04.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,50,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:03:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,52,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:05:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,52,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:07:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,56,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:09:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,58,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:11:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,60,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:13:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,62,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:15:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,64,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:17:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,66,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:19:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,68,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:21:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,68,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:23:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,72,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:25:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,74,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:27:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,76,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:29:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,78,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:31:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,80,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:33:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,80,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:35:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,84,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:37:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,86,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:39:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,88,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:41:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,90,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:43:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,92,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:45:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,94,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:47:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,96,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:49:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,98,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:51:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,100,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:53:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,102,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:55:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,102,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:57:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,106,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T09:59:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,108,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:01:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,110,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:03:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,112,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:05:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,114,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:07:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,116,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:09:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,118,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:11:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,118,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:13:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,122,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:15:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,124,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:17:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,126,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:19:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,128,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:21:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63595,19.92078,0,40,68,130,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:23:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92075,1,1,68,3,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:25:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92075,1,1,68,5,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:27:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92075,1,1,68,7,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:29:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92075,1,1,68,9,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:31:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92075,1,1,68,11,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:33:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92075,1,1,68,11,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:35:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
54.63594,19.92075,1,1,68,15,KALININGRAD,HK,177,0,DELPHIS BOTHNIA,7,4133526,30,157,3,24700,11,1,2016-12-18T10:37:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,1
