LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.8552,30.49775,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49772,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49772,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49768,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85521,30.49769,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85521,30.49769,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49763,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49777,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T11:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49777,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T11:47:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.8552,30.49761,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T11:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.8552,30.49761,0,0,511,5,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T11:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.8552,30.49761,0,0,511,7,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T11:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49771,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T11:55:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49765,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:57:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49765,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49765,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:01:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49765,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:03:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49764,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:05:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49769,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:07:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.4976,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:09:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.4976,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:11:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49761,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:13:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49761,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:15:06.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49761,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:17:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85515,30.49764,1,0,511,1,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:19:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49766,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:21:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49766,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:23:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49761,0,0,511,1,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:25:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49761,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:27:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49761,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:29:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49761,0,0,511,6,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:31:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49761,0,0,511,6,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85513,30.49763,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:35:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49759,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:37:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.4976,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:39:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.4976,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49758,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49758,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:45:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.4976,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.4976,0,0,511,6,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49757,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:51:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49757,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85513,30.49758,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:55:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85513,30.49758,0,0,511,5,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:57:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85513,30.49758,0,0,511,7,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T12:59:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.4976,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:01:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.4976,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:03:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49759,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:05:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49761,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:07:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49761,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:09:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49753,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:11:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49756,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:13:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49757,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:15:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49757,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:17:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49758,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:19:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49758,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:21:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49754,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:23:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49754,0,0,511,6,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:25:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85513,30.4976,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:27:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85513,30.4976,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:29:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85513,30.4976,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.4976,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:33:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.4976,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:35:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49756,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49759,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:39:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49759,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85517,30.49759,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T13:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49752,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:45:06.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49752,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T13:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49754,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T13:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49753,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T13:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49753,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T13:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49753,0,0,511,6,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T13:55:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49759,0,0,511,1,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:57:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49759,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T13:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49759,0,0,511,5,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:01:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49759,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:03:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49761,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:05:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.4976,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:07:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.8552,30.49757,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:09:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.8552,30.49757,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:11:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.8552,30.49757,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:13:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.8552,30.49757,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:15:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49763,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:17:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85521,30.49761,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:19:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85522,30.49763,0,0,511,1,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:21:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85522,30.49763,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:23:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85521,30.49763,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:25:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85522,30.49758,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:27:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85522,30.49758,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:29:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49763,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49763,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85521,30.49758,1,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49759,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49759,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T14:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49762,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49764,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:43:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49764,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:45:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49762,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49766,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49761,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49761,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:53:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49762,1,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:55:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.49762,1,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:57:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49765,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T14:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49762,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T15:01:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49762,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T15:03:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49764,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T15:05:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85515,30.49767,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T15:07:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49762,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T15:09:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49762,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T15:11:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85521,30.4976,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T15:13:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85521,30.4976,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T15:15:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85519,30.4976,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T15:17:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.4976,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,1,2016-12-13T15:19:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.4976,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T15:21:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85518,30.49752,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T15:23:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49753,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T15:25:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85515,30.49752,0,0,511,2,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T15:27:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85515,30.49752,0,0,511,4,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T15:29:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.85516,30.49752,0,0,511,3,CLASS B,RU,28,NA,REDUT,3,4689892,7,6,2,NA,NA,0,2016-12-13T15:31:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
