LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79902,18.61501,103,125,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:17:03.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79736,18.61906,103,124,125,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79379,18.62785,103,125,124,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79046,18.63595,103,126,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:23:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78714,18.64407,103,125,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78377,18.65226,102,125,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7802,18.66099,103,125,124,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77664,18.6697,102,125,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77302,18.67839,102,125,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77137,18.68242,103,125,125,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76636,18.69442,102,125,124,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76299,18.70242,102,125,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75962,18.71042,103,126,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75625,18.71845,103,126,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75283,18.72647,103,126,125,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74915,18.73511,103,126,124,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74553,18.74405,103,124,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74205,18.75296,105,124,123,1,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7404,18.75709,103,124,122,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7404,18.75709,103,124,122,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73372,18.77381,105,124,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73036,18.7821,105,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T19:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72672,18.79102,106,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:01:03.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72331,18.79939,106,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:03:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.71996,18.80752,106,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.71626,18.81655,105,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.71254,18.82537,106,125,122,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.70906,18.83375,106,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.70562,18.84205,106,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.70216,18.8504,107,126,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.69842,18.85944,107,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.69502,18.86774,106,125,122,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.69153,18.87623,107,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.68811,18.88461,107,125,122,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.68471,18.893,107,125,123,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:25:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.68099,18.90218,108,125,122,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.67785,18.91096,107,114,111,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.67785,18.91096,107,114,111,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.67285,18.92994,108,114,113,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.66972,18.93872,108,133,140,2,GDANSK,AG,81,720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.66452,18.94105,91,204,218,2,GDANSK,AG,81,720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.66232,18.93811,92,218,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.65803,18.9327,97,217,217,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:41:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.65353,18.92753,98,212,215,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.64879,18.92265,98,207,209,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.64395,18.9182,98,208,209,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.6391,18.91381,100,205,207,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.63416,18.90953,100,206,207,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.62921,18.90511,100,207,207,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.62419,18.90112,98,202,202,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.61909,18.89751,98,202,201,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.614,18.8938,98,202,202,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T20:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.61147,18.89195,98,203,202,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.60386,18.88628,98,203,201,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.60135,18.88441,98,203,202,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:05:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.59374,18.87872,98,203,202,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.58892,18.87441,98,220,222,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.58475,18.86816,100,219,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:11:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5801,18.86159,101,219,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.57583,18.85535,100,220,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:15:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.57159,18.84909,100,220,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.56736,18.84279,100,220,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.56305,18.83637,101,220,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.55877,18.8301,102,220,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5544,18.82382,103,220,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:25:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.54968,18.817,102,219,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.54539,18.81085,103,219,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5432,18.80769,103,219,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53622,18.79759,103,220,219,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53407,18.79442,102,224,229,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52818,18.78302,102,217,216,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52381,18.77682,103,219,217,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5194,18.77057,103,219,217,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.51495,18.76425,103,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.51056,18.75794,103,219,217,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.50584,18.75127,102,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.50147,18.74507,103,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.49714,18.73887,102,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:51:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.49495,18.73571,102,219,218,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.48838,18.72635,102,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.48403,18.72011,102,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.47964,18.71386,102,219,217,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T21:59:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.47525,18.70765,102,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:01:00.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.47096,18.70152,102,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.46879,18.6984,102,219,217,1,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.46401,18.6916,102,219,218,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.46036,18.68435,101,236,233,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.4569,18.67578,101,234,233,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.45377,18.66809,98,235,233,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.45061,18.66003,87,236,235,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:15:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.44818,18.65371,69,240,243,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:17:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.44686,18.64896,46,238,238,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.44623,18.64701,36,246,252,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.44569,18.64459,8,115,278,2,GDANSK,AG,81,720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.44572,18.64514,5,79,290,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.44577,18.64554,4,80,315,2,GDANSK,AG,81,720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44593,18.64602,5,48,291,2,GDANSK,AG,81,-720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.44618,18.64608,3,352,264,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44618,18.64608,3,352,264,4,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:33:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44618,18.64608,3,352,264,4,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44636,18.64597,1,333,249,4,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44623,18.64597,3,174,245,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44623,18.64597,3,174,245,4,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:41:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.446,18.64607,1,193,279,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.446,18.64607,1,193,279,4,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44629,18.64601,3,2,260,2,GDANSK,AG,81,-720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44629,18.64601,3,2,260,4,GDANSK,AG,81,-720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.4462,18.64591,4,181,239,2,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.4462,18.64591,4,181,239,4,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.4462,18.64591,4,181,239,6,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44592,18.64604,3,317,286,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44619,18.64612,2,19,259,2,GDANSK,AG,81,-720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T22:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44619,18.64612,2,19,259,4,GDANSK,AG,81,-720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44609,18.64601,4,183,242,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44609,18.64601,4,183,242,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:05:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44576,18.64608,3,152,276,4,GDANSK,AG,81,720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44587,18.64601,4,350,295,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44618,18.6461,3,23,263,2,GDANSK,AG,81,-720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44618,18.6461,3,23,263,4,GDANSK,AG,81,-720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.4461,18.64599,4,190,241,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44576,18.64605,3,153,273,2,GDANSK,AG,81,720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:17:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44576,18.64605,3,153,273,4,GDANSK,AG,81,720,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.44581,18.64598,3,346,296,3,GDANSK,AG,81,0,RMS RAHM,7,364258,11,70,5,2500,9,1,2016-12-13T23:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
