LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79882,18.90117,101,129,125,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:11:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79517,18.90965,100,127,125,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:13:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79178,18.9174,101,127,125,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:15:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78833,18.92528,100,126,125,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,8,4338,9,1,2016-12-19T14:17:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78488,18.93295,98,124,125,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,8,4338,9,1,2016-12-19T14:19:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78129,18.94111,99,124,125,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,8,4338,9,1,2016-12-19T14:21:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77965,18.94496,99,124,125,3,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:23:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77585,18.95378,99,126,127,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:25:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77247,18.96127,99,128,127,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:27:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76904,18.96883,99,129,127,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,8,4338,9,1,2016-12-19T14:29:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76737,18.97252,98,128,127,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,8,4338,9,1,2016-12-19T14:31:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76193,18.9823,91,166,168,2,GDYNIA (POLAND,AG,89,720,WILSON HOLLA,7,362411,13,82,8,4338,9,1,2016-12-19T14:33:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75708,18.98143,90,196,195,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:35:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75215,18.9789,93,190,195,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:37:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74723,18.9765,90,198,193,2,GDYNIA (POLAND,AG,89,720,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:39:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74195,18.97405,90,191,196,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:41:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73701,18.97178,93,191,195,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:43:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73195,18.96955,97,202,194,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:45:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72637,18.96717,95,194,195,2,GDYNIA (POLAND,AG,89,-720,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:47:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72127,18.965,93,192,193,2,GDYNIA (POLAND,AG,89,-720,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:49:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.71565,18.96282,96,192,194,2,GDYNIA (POLAND,AG,89,0,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:51:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7105,18.96052,94,193,197,2,GDYNIA (POLAND,AG,89,720,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:53:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70547,18.9582,93,198,196,2,GDYNIA (POLAND,AG,89,720,WILSON HOLLA,7,362411,13,82,6,4338,9,1,2016-12-19T14:55:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
