LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.39208,18.99652,64,250,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T15:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.39094,18.99061,66,253,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T15:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.39094,18.99061,66,253,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T15:49:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38862,18.97878,65,252,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T15:51:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38744,18.97281,66,251,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T15:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38629,18.96623,67,257,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T15:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.3853,18.9601,67,256,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T15:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38444,18.95378,68,257,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T15:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38404,18.9506,69,258,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38279,18.94101,68,256,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38205,18.93455,69,258,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38123,18.9275,73,254,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.38021,18.9208,71,260,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37942,18.91411,72,260,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.3787,18.90744,70,267,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37797,18.9008,70,259,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37709,18.89417,71,248,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.3742,18.89266,68,239,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37394,18.88592,72,279,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37411,18.87902,72,274,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37429,18.875,72,275,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37481,18.86806,74,280,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37639,18.86083,75,296,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37639,18.86083,75,296,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:31:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37655,18.84748,72,277,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:33:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37628,18.84063,74,263,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37638,18.83664,72,272,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:37:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37654,18.82612,72,261,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37647,18.81916,73,271,511,1,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37588,18.81228,74,272,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37585,18.80533,74,264,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37576,18.80185,73,266,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.3759,18.79134,75,276,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T16:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.37604,18.78373,73,275,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-13T16:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.36719,18.78227,73,163,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-13T16:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.3585,18.7847,73,157,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:01:03.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.35122,18.7868,73,176,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.34758,18.78829,49,157,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.34657,18.78922,36,150,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.34615,18.78926,0,0,511,4,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.34615,18.78927,0,0,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.34621,18.78922,7,26,511,1,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.34621,18.78922,7,26,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.34918,18.78142,77,302,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-13T17:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.3519,18.77575,78,303,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-13T17:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.35303,18.76859,78,272,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.35299,18.76491,77,262,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.35299,18.76491,77,262,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-13T17:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.35271,18.76267,7,278,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:09:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.35309,18.76892,80,93,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:11:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.35281,18.77272,81,100,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.34979,18.77992,83,132,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.35014,18.78768,84,354,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-16T04:17:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.35322,18.78646,85,351,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:19:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.35322,18.78646,85,351,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:21:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.36279,18.78334,84,345,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.36279,18.78334,84,345,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:25:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.372,18.77958,86,339,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-16T04:27:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.37698,18.77778,85,15,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:29:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.37946,18.78181,83,51,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:31:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.38338,18.7882,82,41,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:33:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.38687,18.79343,82,39,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-16T04:35:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.39038,18.79857,85,39,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:37:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.39419,18.80404,84,43,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:39:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.39795,18.80859,82,43,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:41:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.40173,18.81301,82,29,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:43:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.40554,18.81846,81,32,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:45:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.40847,18.82444,84,58,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:47:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.40847,18.82444,84,58,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:49:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.41429,18.83481,81,51,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:51:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.41853,18.84033,83,39,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:53:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.42099,18.84346,80,36,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:55:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.42499,18.84931,82,39,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:57:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.42905,18.85533,82,48,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T04:59:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.43287,18.85967,81,27,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:01:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.43671,18.86391,82,41,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:03:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.44035,18.86956,84,45,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.44383,18.87457,80,40,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:07:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.44711,18.87988,82,47,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.45038,18.88524,81,42,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-16T05:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.45244,18.88817,82,40,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,0,2016-12-16T05:13:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.45589,18.89284,82,5,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.46045,18.89721,82,34,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.46237,18.89929,82,29,511,1,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:19:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.46921,18.90499,80,41,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:21:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.47168,18.90797,82,31,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.47715,18.91254,80,19,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:25:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.47995,18.91449,82,33,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:27:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.48513,18.91933,81,27,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:29:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.48726,18.92299,82,44,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:31:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49213,18.92791,82,17,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:33:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49734,18.93097,81,6,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:35:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.4999,18.93179,82,25,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:37:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.50175,18.93487,81,65,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:39:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.50674,18.94453,80,63,511,1,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:41:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.51064,18.94724,80,356,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:43:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.51275,18.9484,79,40,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:45:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.51711,18.95437,82,29,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:47:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52195,18.9577,80,15,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:49:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52491,18.95879,81,12,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:51:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52584,18.96261,39,117,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:53:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52615,18.96527,9,80,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:55:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52615,18.96527,9,80,511,4,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:57:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52623,18.96827,33,75,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T05:59:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52637,18.97219,42,86,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:01:07.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52644,18.97454,42,91,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:03:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52637,18.97912,31,98,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52627,18.98116,29,91,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:07:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52607,18.98391,28,104,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52582,18.98642,29,110,511,1,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:11:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52526,18.99101,31,100,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:13:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52504,18.99236,28,105,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52473,18.99474,29,94,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.52466,18.99753,29,86,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T06:19:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.60067,18.99883,31,326,511,2,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T12:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.60184,18.99748,23,331,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T12:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.60297,18.99606,23,316,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T12:19:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.60414,18.99438,25,317,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T12:21:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.60517,18.99275,30,320,511,3,GDYNIA,PL,18,0,PL ZAG-17,2,3780703,5,12,1,NA,NA,1,2016-12-16T12:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
